Sum of count,Column Labels,,,,,,,,,,,,
Row Labels,Astronomy and Space Science,Behavioral and Social Sciences,Biochemistry,"Biology: Cellular, Molecular, or Microbiology","Biology: Evolution, Plant and Animal Science",Chemistry,Computer Science and Technology,Earth and Environmental Science,Engineering: Biomedical,Engineering: Electrical and Mechanical,Mathematics and Computational Modeling,Physics,Grand Total
Acton-Boxborough Regional High,,,1,1,,,3,1,,1,,,7
Al Noor Academy,,1,,,,,,2,,1,,,4
Algonquin Regional High,,1,,,,,,,,,,,1
Andover High,,,,,,,2,,1,1,,,4
Arlington High,,,,,,,,,,1,,,1
B M C Durfee High,,,,,,,,,,1,,,1
Bancroft School,,1,,,1,,,,,,,,2
Beaver Country Day School,,,,,,,,,,,,1,1
Bedford High,,,,,,,1,1,,,,,2
Belchertown High,,1,,,,,,,,,,,1
Belmont High,,,,,,,,,,1,,1,2
Berkshire School,,,,1,,,,,2,,,1,4
Billerica Memorial High School,,1,,,1,,1,,1,1,,,5
Bishop Feehan High School,,,,,1,,,,,,,1,2
Blackstone Valley,,1,,1,1,,,,,,,,3
Boston College High School,1,,,,,,,,,,,,1
Boston Latin Academy,1,,,,,,,,,,,,1
Boston Latin School,,1,1,3,,1,,4,1,,2,,13
Boston Trinity Academy,,,,,,,,,,1,,,1
Boston University Academy,,,,,,,1,,1,,,,2
Bristol-Plymouth Vocational Technical,,,,,1,,,2,,,,,3
Brockton High,1,,,,1,,,,,,,,2
Bromfield,,,,,,,1,,1,,,,2
Brookline High,,,,,,,1,,,,,,1
Brooks School,,,,,,1,,,,,,,1
Buckingham Browne & Nichols School,,1,,,,,2,,1,,,,4
Burlington High,,,,,,,1,,,,,,1
Cambridge Rindge and Latin,,,,,,,1,,,,,,1
Chelmsford High,,,,,,1,,,,,,,1
Commonwealth School,,,,,,1,,,,,,,1
Concord Academy,,,1,2,,,1,,1,,,1,6
Cushing Academy,,,,,,,1,,,,,,1
Dana Hall School,,,,,,1,,,,,,,1
Dearborn STEM Academy,,,1,,,,,,,,,,1
Deerfield Academy,,1,,,,,,,,,,1,2
Dessalines STEAM Academy,,,,,,,,,,,,1,1
Discovery Polytech Early College High School,,3,,,,,,,,,,,3
Dover-Sherborn Regional High,,,,1,,,1,,,,,,2
Eaglebrook School,,,,,,,,,,1,,,1
East Boston High,,,,,,,,1,,,,,1
Everett High,,,,,,,2,,,1,,,3
Falmouth Academy,,1,,1,,,,,,1,,,3
Falmouth High,,,1,,,,,,,,,,1
Foxborough Regional Charter School,,,1,1,1,,1,,,,,,4
Framingham High School,,,,,,,1,,,,,,1
Franklin High,,,,1,,,1,1,1,1,1,,6
Grafton High School,,,,1,,1,,,1,2,,,5
Groton School,,,1,1,,,,,2,,,,4
Home School - Blackstone,,,,,,1,,,,,,,1
Home School - Sharon,,,,,,,,,1,,,,1
Hopkins Academy,,,,1,,,,,1,,,,2
Hopkinton High,,,,1,1,1,,,1,1,,,5
Lexington High,,,,3,,,2,,1,,1,1,8
Lincoln-Sudbury Regional High,,,1,,1,,,,,,,,2
Littleton High School,,,,1,,,,1,1,,,,3
Lowell High,,,,,,,1,,,,,,1
Maimonides School,,,,1,,,,,,,,,1
Malden Catholic High School,,,1,,,,,,,,,,1
Mansfield High,1,,,,,,,,1,,,,2
Marblehead High,,,,,,,,,,1,,,1
Martha's Vineyard Regional High,,,,,,,,,,1,,,1
Masconomet Regional High School,1,,,,,,,,,,,,1
Massachusetts Academy of Math & Science at WPI,,1,,3,1,1,1,,1,2,,,10
Medford High,,,,,,,,,,,,1,1
Medway High,,,1,,,,,,,,,,1
Middlesex School,,,1,,,,,,1,,,,2
Milford High,,,,,,,1,,,,,,1
Milton Academy,,,,,,,,,3,,,,3
Minuteman Regional High,,,,1,1,,,,,,,,2
New Liberty Innovation School,,,,,,,,1,,,,,1
Newton Country Day School,,,1,2,,,,,,1,,,4
Newton North High,,,,1,,,,,,1,,,2
Newton South High,,,1,1,,,,,,,,,2
Noble And Greenough School,,,,,,,1,,1,,,,2
